userid,age,dob_day,dob_year,dob_month,gender,tenure,friend_count,friendships_initiated,likes,likes_received,mobile_likes,mobile_likes_received,www_likes,www_likes_received
2094382,14,19,1999,11,male,266,0,0,0,0,0,0,0,0
1192601,14,2,1999,11,female,6,0,0,0,0,0,0,0,0
2083884,14,16,1999,11,male,13,0,0,0,0,0,0,0,0
1203168,14,25,1999,12,female,93,0,0,0,0,0,0,0,0
1733186,14,4,1999,12,male,82,0,0,0,0,0,0,0,0
1524765,14,1,1999,12,male,15,0,0,0,0,0,0,0,0
1136133,13,14,2000,1,male,12,0,0,0,0,0,0,0,0
1680361,13,4,2000,1,female,0,0,0,0,0,0,0,0,0
1365174,13,1,2000,1,male,81,0,0,0,0,0,0,0,0
1712567,13,2,2000,2,male,171,0,0,0,0,0,0,0,0
1612453,13,22,2000,2,male,98,0,0,0,0,0,0,0,0
2104073,13,1,2000,2,male,55,0,0,0,0,0,0,0,0
1918584,13,5,2000,3,male,106,0,0,0,0,0,0,0,0
1704433,13,21,2000,3,male,61,0,0,0,0,0,0,0,0
1932519,13,28,2000,3,female,0,0,0,0,0,0,0,0,0
1751722,13,7,2000,4,female,16,0,0,0,0,0,0,0,0
1470850,13,30,2000,5,female,34,0,0,0,0,0,0,0,0
1001768,13,23,2000,5,female,25,0,0,0,0,0,0,0,0
1537661,13,16,2000,5,female,4,0,0,0,0,0,0,0,0
1020296,13,13,2000,8,male,9,0,0,0,0,0,0,0,0
1472643,13,13,2000,9,female,9,0,0,0,0,0,0,0,0
2041297,13,22,2000,9,female,10,0,0,0,0,0,0,0,0
1514978,13,2,2000,9,male,0,0,0,0,0,0,0,0,0
1708962,15,17,1998,11,male,98,0,0,0,0,0,0,0,0
1098955,15,3,1998,11,male,100,0,0,0,0,0,0,0,0
1001243,15,11,1998,11,male,28,0,0,0,0,0,0,0,0
2113084,15,24,1998,11,male,52,0,0,0,0,0,0,0,0
2163454,15,15,1998,11,male,0,0,0,0,0,0,0,0,0
1670750,15,28,1998,12,male,24,0,0,0,0,0,0,0,0
1041376,15,11,1998,12,male,41,0,0,0,0,0,0,0,0
1762274,15,10,1998,12,male,17,0,0,0,0,0,0,0,0
1903650,14,16,1999,1,male,165,0,0,0,0,0,0,0,0
2087235,14,14,1999,1,male,15,0,0,0,0,0,0,0,0
1871735,14,1,1999,1,female,578,0,0,0,0,0,0,0,0
1459785,14,1,1999,1,male,478,0,0,0,0,0,0,0,0
1215208,14,1,1999,1,male,170,0,0,0,0,0,0,0,0
1255528,14,20,1999,2,male,266,0,0,0,0,0,0,0,0
1390333,14,19,1999,2,male,227,0,0,0,0,0,0,0,0
1570689,14,17,1999,2,male,13,0,0,0,0,0,0,0,0
1197377,14,1,1999,2,male,111,0,0,0,1,0,0,0,1
1472999,14,22,1999,3,female,201,0,0,0,0,0,0,0,0
1549614,14,16,1999,3,male,271,0,0,0,0,0,0,0,0
2056802,14,11,1999,3,female,145,0,0,0,0,0,0,0,0
2091823,14,21,1999,3,male,23,0,0,0,0,0,0,0,0
1302193,14,16,1999,3,female,21,0,0,0,0,0,0,0,0
1784528,14,8,1999,3,male,0,0,0,0,0,0,0,0,0
1842851,14,22,1999,4,male,258,0,0,0,0,0,0,0,0
1002019,14,30,1999,4,female,250,0,0,0,0,0,0,0,0
2188166,14,29,1999,4,female,22,0,0,0,0,0,0,0,0
1443541,14,21,1999,4,male,30,0,0,0,0,0,0,0,0
1927282,14,7,1999,5,male,242,0,0,0,0,0,0,0,0
1929885,14,14,1999,5,female,11,0,0,0,0,0,0,0,0
2188851,14,20,1999,5,male,0,0,0,0,0,0,0,0,0
1562606,14,8,1999,6,female,67,0,0,0,0,0,0,0,0
1599485,14,3,1999,6,male,0,0,0,0,0,0,0,0,0
2157419,14,19,1999,7,male,93,0,0,0,0,0,0,0,0
1264260,14,11,1999,7,male,18,0,0,0,0,0,0,0,0
