,name,rating,review,company_type,Head_Quarters,Company_Age,No_of_Employee
0,TCS,3.9,(26.3k Reviews),Public,"Mumbai,Maharashtra + 203 more",53 years old,1 Lakh+ employees (India)
1,Accenture,4.0,(20.5k Reviews),Public,"Dublin,Dublin + 119 more",32 years old,1 Lakh+ employees (India)
2,Cognizant,3.9,(18.7k Reviews),Private,"Teaneck,New Jersey + 66 more",27 years old,1 Lakh+ employees (India)
3,ICICI Bank,4.0,(18.5k Reviews),Public,"Mumbai,Maharashtra + 896 more",27 years old,50k-1 Lakh employees (India)
4,HDFC Bank,4.0,(16.2k Reviews),Public,"Mumbai,Maharashtra + 955 more",27 years old,1 Lakh+ employees (India)
5,Wipro,3.8,(14.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 217 more",76 years old,1 Lakh+ employees (India)
6,Capgemini,3.7,(14k Reviews),Public,Paris + 58 more,54 years old,1 Lakh+ employees (India)
7,HCL Technologies,3.8,(13.7k Reviews),Public,"Noida,Uttar Pradesh + 135 more",45 years old,1 Lakh+ employees (India)
8,Infosys,3.9,(13.4k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 95 more",40 years old,1 Lakh+ employees (India)
9,Tech Mahindra,3.6,(12.8k Reviews),Public,"Pune,Maharashtra + 133 more",35 years old,50k-1 Lakh employees (India)
10,Genpact,4.0,(11.9k Reviews),Private,"New York,New York + 49 more",24 years old,50k-1 Lakh employees (India)
11,Axis Bank,3.8,(11.5k Reviews),Public,"Mumbai,Maharashtra + 868 more",28 years old,50k-1 Lakh employees (India)
12,Vodafone Idea,4.2,(11.4k Reviews),Public,"Gandhinagar,Gujrat + 504 more",3 years old,10k-50k employees (India)
13,L&T,4.0,(11.1k Reviews),Public,"Mumbai,Maharashtra + 431 more",83 years old,10k-50k employees (India)
14,Reliance jio,4.0,(10.9k Reviews),Public,"Navi Mumbai,Maharashtra + 783 more",14 years old,10k-50k employees (India)
15,IBM,4.1,(10.7k Reviews),Public,New York + 95 more,110 years old,50k-1 Lakh employees (India)
